SITE_ID,NEW_AREA_NAME,SITE_RANKED_NGR,SITE_RANKED_EASTING,SITE_RANKED_NORTHING,N_SURVEYS,FIRST_SURVEY,LAST_SURVEY
7832,Lincolnshire and Northamptonshire,TF3070087000,530700,387000,1,03/01/1995,03/01/1995
25217,Devon and Cornwall,SW6301036080,163010,36080,1,08/06/1983,08/06/1983
69246,Devon and Cornwall,SW8052555962,180525,55962,1,14/09/2017,14/09/2017
25841,Greater Manchester Merseyside and Cheshire,SK0571981736,405719,381736,3,31/07/2007,16/07/2019
1084,Shropshire Herefordshire Worcestershire and Gloucestershire,SO2530094400,325300,294400,3,08/08/1991,15/07/1997
11125,Shropshire Herefordshire Worcestershire and Gloucestershire,SO4010042300,340100,242300,7,13/08/1997,24/08/2021
22981,Wessex,SY7472390286,374723,90286,1,13/07/2006,13/07/2006
16902,Cumbria and Lancashire,NY6766016480,367660,516480,1,26/08/2005,26/08/2005
1526,Essex Norfolk and Suffolk,TG4130021400,641300,321400,3,08/10/1986,06/09/1993
4758,Cambridgeshire and Bedfordshire,TL2315770539,523157,270539,16,27/09/1989,27/09/2019
6348,Greater Manchester Merseyside and Cheshire,SJ9034299683,390342,399683,10,02/10/1995,30/05/2023
21534,Greater Manchester Merseyside and Cheshire,SJ9101890886,391018,390886,2,15/08/2006,05/10/2007
48904,Kent and South London,TQ4764571071,547645,171071,1,13/06/2013,13/06/2013
7001,Greater Manchester Merseyside and Cheshire,SJ8390082300,383900,382300,1,13/08/1996,13/08/1996
7057,Wessex,ST8604054300,386040,154300,6,18/09/2002,28/06/2012
3916,Northumbria,NZ3450012100,434500,512100,8,23/08/2001,14/10/2010
19314,Devon and Cornwall,SX6030057600,260300,57600,1,03/08/2006,03/08/2006
31134,Shropshire Herefordshire Worcestershire and Gloucestershire,SO6538084745,365380,284745,2,21/07/2008,23/06/2011
30165,Yorkshire,SE5153995061,451539,495061,1,22/08/2012,22/08/2012
16914,Northumbria,NY7390063600,373900,563600,4,05/09/1996,01/09/2017
44181,Kent and South London,TQ8749928804,587499,128804,3,12/08/2005,02/10/2024
49344,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ3936232839,339362,332839,2,03/06/2013,04/05/2016
13611,Greater Manchester Merseyside and Cheshire,SJ8589863297,385898,363297,7,03/08/2004,08/07/2024
12780,Shropshire Herefordshire Worcestershire and Gloucestershire,SO3120029700,331200,229700,8,11/07/1989,28/08/1999
19651,Wessex,ST2784036260,327840,136260,3,10/04/2006,20/06/2017
37427,Derbyshire Nottinghamshire and Leicestershire,SK8029443593,480294,343593,2,24/05/2011,21/06/2017
30157,Wessex,ST8530020400,385300,120400,1,30/03/2004,30/03/2004
3857,Yorkshire,SE7295962823,472959,462823,10,12/09/2001,16/07/2015
76324,Devon and Cornwall,SX0791454752,207914,54752,1,17/05/2022,17/05/2022
3453,Kent and South London,TQ5102345560,551023,145560,13,29/11/2001,20/08/2019
5244,Cumbria and Lancashire,NY5513222574,355132,522574,3,08/07/2002,04/08/2021
11546,Cumbria and Lancashire,NY4700401013,347004,501013,2,22/07/1993,11/08/1999
11630,Cumbria and Lancashire,SD3850079400,338500,479400,1,21/09/1994,21/09/1994
53625,Solent and South Downs,SZ4394781952,443947,81952,1,10/07/2014,10/07/2014
6291,Solent and South Downs,SU5637434532,456374,134532,21,19/09/2001,31/07/2024
9484,Devon and Cornwall,SS5074017280,250740,117280,3,26/09/2001,10/08/2011
7559,Cumbria and Lancashire,SD8417958208,384179,458208,23,25/08/1992,13/06/2024
17993,West Thames,SP3585610082,435856,210082,1,22/09/2004,22/09/2004
37204,Greater Manchester Merseyside and Cheshire,SJ7021391137,370213,391137,2,23/06/2010,05/04/2011
6136,Lincolnshire and Northamptonshire,SP8994071120,489940,271120,6,27/01/1989,04/05/2006
6306,Solent and South Downs,SU4917739339,449177,139339,4,25/09/2001,24/08/2004
28792,West Thames,SU8463240210,484632,140210,1,09/10/2007,09/10/2007
32898,Cumbria and Lancashire,NY4184716778,341847,516778,1,27/07/2009,27/07/2009
50967,West Thames,SU9922250483,499222,150483,2,25/06/2014,23/07/2015
79023,Shropshire Herefordshire Worcestershire and Gloucestershire,SO3866988260,338669,288260,1,27/09/2023,27/09/2023
5234,Cumbria and Lancashire,NY6352725282,363527,525282,4,07/08/2002,22/07/2016
6506,Greater Manchester Merseyside and Cheshire,SJ9380069700,393800,369700,2,12/08/1996,09/12/1996
25165,Northumbria,NT9190010100,391900,610100,2,18/09/2006,02/08/2009
17091,Cumbria and Lancashire,NY5721062215,357210,562215,4,21/07/2005,12/07/2024
1213,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ5523709708,355237,309708,13,23/04/1992,03/06/2024
32192,West Thames,SU6109991852,461099,191852,1,21/01/2009,21/01/2009
77743,West Thames,SP4951528977,449515,228977,1,08/06/2023,08/06/2023
7434,Yorkshire,SE3270031200,432700,431200,3,21/08/2002,12/07/2004
1478,Essex Norfolk and Suffolk,TF9980024800,599800,324800,5,17/06/1986,24/09/2009
12686,Wessex,ST4069254666,340692,154666,1,08/08/1991,08/08/1991
4695,Cambridgeshire and Bedfordshire,SP8923229603,489232,229603,3,28/10/1986,24/03/2004
30924,Cambridgeshire and Bedfordshire,TF6091113914,560911,313914,1,21/08/2008,21/08/2008
110,Staffordshire Warwickshire and West Midlands,SK1147604939,411476,304939,5,16/07/1996,18/04/2019
16894,Northumbria,NY6230059200,362300,559200,3,03/10/2005,27/07/2012
706,Essex Norfolk and Suffolk,TL8930036900,589300,236900,22,26/07/1985,26/07/2024
3633,Derbyshire Nottinghamshire and Leicestershire,SK6578513179,465785,313179,6,28/01/1993,10/04/2015
8592,Devon and Cornwall,SW9940053700,199400,53700,1,02/10/2002,02/10/2002
28794,West Thames,SU7212551284,472125,151284,1,25/10/2007,25/10/2007
40974,West Thames,SP4545122441,445451,222441,2,05/10/2011,15/09/2017
12942,Shropshire Herefordshire Worcestershire and Gloucestershire,SO8790036300,387900,236300,2,27/04/1993,14/07/1998
92,Staffordshire Warwickshire and West Midlands,SJ8670042700,386700,342700,3,01/10/1991,16/03/1999
3695,Derbyshire Nottinghamshire and Leicestershire,SK5831569656,458315,369656,11,10/10/1995,03/06/2010
7805,Lincolnshire and Northamptonshire,TF0460036300,504600,336300,1,13/12/1994,13/12/1994
62063,Cumbria and Lancashire,NY5514822506,355148,522506,1,04/07/2014,04/07/2014
48223,Solent and South Downs,SU7506305987,475063,105987,1,08/05/2013,08/05/2013
77989,Cumbria and Lancashire,NY3332808067,333328,508067,2,25/07/2023,17/07/2024
12643,Wessex,SS8968844106,289688,144106,1,20/09/1993,20/09/1993
52364,Cumbria and Lancashire,NY2576948488,325769,548488,1,08/10/2013,08/10/2013
1428,Shropshire Herefordshire Worcestershire and Gloucestershire,SJ5405309244,354053,309244,10,30/06/1992,30/08/2023
11918,Northumbria,NY9310065600,393100,565600,1,06/08/2002,06/08/2002
28331,Northumbria,NZ2820043200,428200,543200,5,11/09/2007,15/08/2012
76183,Wessex,SU1662026382,416620,126382,1,19/08/2021,19/08/2021
9298,Devon and Cornwall,SX6468073020,264680,73020,9,27/06/1996,11/07/2024
9594,Devon and Cornwall,ST3825003680,338250,103680,3,31/07/1997,08/06/2004
9418,Devon and Cornwall,SX7077047890,270770,47890,2,07/08/1997,03/10/2000
7845,Lincolnshire and Northamptonshire,TF0390087400,503900,387400,1,12/12/1995,12/12/1995
26198,Essex Norfolk and Suffolk,TM2358194310,623581,294310,3,23/03/2007,07/03/2017
11769,Cumbria and Lancashire,NY1691400481,316914,500481,8,28/07/1994,08/08/2023
50305,Devon and Cornwall,SW9942151515,199421,51515,1,03/09/2013,03/09/2013
4686,Cambridgeshire and Bedfordshire,TL0176255329,501762,255329,3,22/11/1988,19/10/1994
9811,Devon and Cornwall,SS7308005150,273080,105150,5,08/08/1996,06/08/2018
28201,Cumbria and Lancashire,NY6406173594,364061,573594,1,09/08/2007,09/08/2007
42077,Yorkshire,SD9823150111,398231,450111,11,24/09/1992,25/09/2003
59565,Cumbria and Lancashire,SD4947254192,349472,454192,1,13/08/2014,13/08/2014
78603,Shropshire Herefordshire Worcestershire and Gloucestershire,SO5474990078,354749,290078,1,28/09/2023,28/09/2023
7469,Devon and Cornwall,SX2510061100,225100,61100,2,06/09/1994,11/08/2002
30081,West Thames,SU6484763373,464847,163373,1,13/03/2014,13/03/2014
63383,Yorkshire,SE1515717441,415157,417441,1,13/08/2015,13/08/2015
57885,Northumbria,NZ3016467055,430164,567055,1,13/06/2014,13/06/2014
10715,Hertfordshire and North London,TL4955216984,549552,216984,14,08/10/2003,24/08/2016
858,Essex Norfolk and Suffolk,TL7570008400,575700,208400,9,03/07/1986,16/06/2010
10152,Cumbria and Lancashire,SD6046667430,360466,467430,12,13/07/1981,23/07/2019
21772,Cumbria and Lancashire,NY3258370385,332583,570385,2,11/07/2006,08/07/2013
31129,Cumbria and Lancashire,SD5210048200,352100,448200,1,27/04/1994,27/04/1994
31889,Hertfordshire and North London,TL3840007800,538400,207800,1,05/02/1993,05/02/1993
8927,Essex Norfolk and Suffolk,TG1713335208,617133,335208,1,01/11/1996,01/11/1996
6681,Lincolnshire and Northamptonshire,SE9930006800,499300,406800,10,25/07/1986,25/04/2018
18731,Northumbria,NU1450003300,414500,603300,5,12/09/1995,04/09/2015
16731,Solent and South Downs,TQ1550430176,515504,130176,1,02/08/2005,02/08/2005
34989,Cumbria and Lancashire,SD8155164025,381551,464025,8,14/05/2010,27/06/2024
17672,Kent and South London,TQ6520826902,565208,126902,4,23/11/2005,23/08/2016
36633,Yorkshire,SE4732060406,447320,460406,5,16/06/2014,03/06/2024
41566,Essex Norfolk and Suffolk,TL9624926113,596249,226113,5,30/11/2011,09/12/2011
13323,Shropshire Herefordshire Worcestershire and Gloucestershire,SO9050036500,390500,236500,1,07/07/1988,07/07/1988
10434,Hertfordshire and North London,TL1414101373,514141,201373,12,08/07/2003,23/05/2023
8072,West Thames,SU9685477503,496854,177503,16,01/09/1995,04/09/2013
29708,Cambridgeshire and Bedfordshire,TL6048344298,560483,244298,3,10/02/2005,25/03/2008
29759,Cumbria and Lancashire,SD6143083491,361430,483491,2,30/07/1991,17/07/2002
44984,Kent and South London,TQ1725550441,517255,150441,3,30/10/2012,11/09/2019
5768,Shropshire Herefordshire Worcestershire and Gloucestershire,SO6880048800,368800,248800,1,16/01/1991,16/01/1991
275,Staffordshire Warwickshire and West Midlands,SJ9940058400,399400,358400,1,16/06/1998,16/06/1998
1751,Essex Norfolk and Suffolk,TG3620021500,636200,321500,9,21/09/1988,19/07/2005
8330,Staffordshire Warwickshire and West Midlands,SP2660070900,426600,270900,3,05/08/1992,29/07/2003
69943,Lincolnshire and Northamptonshire,SP7293187063,472931,287063,1,04/08/2017,04/08/2017
5383,Cumbria and Lancashire,NY4712097058,347120,597058,1,18/07/2002,18/07/2002
9191,Devon and Cornwall,ST3194001670,331940,101670,5,24/07/1997,18/06/2004
29396,Yorkshire,SE3440014200,434400,414200,1,01/09/1999,01/09/1999
52043,Greater Manchester Merseyside and Cheshire,SD8803716594,388037,416594,1,15/10/2013,15/10/2013
11305,Cumbria and Lancashire,SD8798247923,387982,447923,2,28/08/2003,26/07/2010
41327,Derbyshire Nottinghamshire and Leicestershire,SK4303533340,443035,333340,3,29/09/2010,19/09/2024
807,Essex Norfolk and Suffolk,TL8470016100,584700,216100,20,06/08/1984,11/10/2023
